EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,YearsAtCompany
25336.0,26.0,No,Non-Travel,Sales,20.0,2,Technical,Male,3,Manager,Divorced,21077.0,6.0,Yes,37
26461.0,48.0,Yes,Travel_Frequently,Sales,22.0,4,Marketing,Female,4,Developer,Single,19361.0,3.0,No,15
23905.0,45.0,No,Travel_Rarely,HR,7.0,2,Marketing,Male,3,Analyst,Married,2021.0,9.0,No,38
23423.0,42.0,No,Non-Travel,HR,29.0,3,Life Sciences,Male,4,Analyst,Married,13975.0,4.0,Yes,17
4606.0,54.0,Yes,Travel_Frequently,HR,25.0,2,Other,Female,3,Research Scientist,Married,6446.0,4.0,No,22
22263.0,50.0,No,Non-Travel,HR,7.0,2,Technical,Male,1,Executive,Divorced,25174.0,0.0,No,30
14593.0,20.0,No,Travel_Frequently,Sales,2.0,3,Other,Male,1,Research Scientist,Married,12760.0,9.0,Yes,2
4983.0,43.0,Yes,Travel_Rarely,Sales,2.0,1,Marketing,Female,1,Research Scientist,Married,18724.0,6.0,No,0
7668.0,55.0,No,Travel_Frequently,Sales,22.0,4,Technical,Male,5,Analyst,Single,27690.0,0.0,Yes,2
3283.0,59.0,Yes,Non-Travel,Sales,29.0,4,Life Sciences,Female,5,Developer,Single,5361.0,6.0,Yes,14
11542.0,24.0,No,Non-Travel,Sales,13.0,2,Technical,Female,4,Developer,Single,16368.0,2.0,No,23
1504.0,46.0,Yes,Travel_Frequently,Sales,27.0,4,Other,Female,1,Analyst,Single,7985.0,8.0,Yes,12
24453.0,20.0,Yes,Travel_Frequently,HR,13.0,3,Technical,Female,5,Analyst,Married,15438.0,8.0,Yes,17
9023.0,21.0,Yes,Travel_Frequently,Development,22.0,2,Technical,Male,1,Sales Representative,Single,11351.0,1.0,No,29
5216.0,21.0,No,Travel_Frequently,Development,27.0,4,Technical,Female,2,Research Scientist,Married,23552.0,4.0,Yes,7
5122.0,52.0,No,Non-Travel,Development,19.0,1,Life Sciences,Male,2,Manager,Married,5179.0,1.0,No,17
24653.0,38.0,Yes,Travel_Frequently,Development,14.0,1,Other,Male,5,Analyst,Divorced,4068.0,9.0,Yes,0
29818.0,40.0,Yes,Non-Travel,Development,21.0,2,Life Sciences,Male,4,Developer,Married,19703.0,3.0,No,31
28415.0,34.0,Yes,Non-Travel,Sales,8.0,4,Other,Female,4,Executive,Divorced,25307.0,3.0,Yes,14
20512.0,18.0,Yes,Non-Travel,HR,29.0,4,Technical,Male,3,Analyst,Divorced,19160.0,0.0,Yes,17
24445.0,20.0,Yes,Travel_Rarely,Sales,27.0,4,Technical,Male,4,Analyst,Divorced,12855.0,4.0,Yes,8
12948.0,43.0,Yes,Travel_Rarely,Sales,19.0,1,Marketing,Female,3,Analyst,Married,6073.0,1.0,Yes,14
29402.0,40.0,No,Non-Travel,HR,11.0,2,Technical,Female,2,Research Scientist,Married,7653.0,7.0,Yes,11
7919.0,28.0,Yes,Travel_Rarely,Development,8.0,1,Technical,Male,1,Analyst,Divorced,10489.0,8.0,Yes,28
24368.0,38.0,No,Travel_Rarely,Sales,6.0,4,Medical,Male,2,Research Scientist,Single,2263.0,3.0,No,8
19771.0,32.0,No,Travel_Rarely,HR,26.0,4,Other,Male,2,Analyst,Divorced,27479.0,6.0,No,22
16178.0,24.0,Yes,Travel_Frequently,Development,20.0,3,Other,Female,4,Developer,Married,18303.0,1.0,Yes,13
14986.0,58.0,No,Travel_Rarely,HR,19.0,4,Other,Female,3,Sales Representative,Married,3211.0,6.0,Yes,3
5454.0,21.0,Yes,Travel_Frequently,Sales,18.0,2,Other,Male,5,Manager,Married,4939.0,6.0,Yes,3
25481.0,33.0,Yes,Travel_Frequently,Development,28.0,4,Marketing,Male,3,Manager,Divorced,17796.0,5.0,No,34
5909.0,35.0,Yes,Travel_Frequently,Sales,1.0,4,Technical,Female,2,Research Scientist,Single,10366.0,4.0,Yes,4
12120.0,57.0,No,Travel_Rarely,HR,25.0,3,Life Sciences,Female,2,Analyst,Divorced,7846.0,1.0,No,39
8514.0,30.0,Yes,Travel_Rarely,HR,16.0,1,Technical,Female,5,Research Scientist,Single,4278.0,8.0,No,25
15556.0,46.0,No,Non-Travel,Sales,22.0,3,Medical,Male,2,Manager,Single,6817.0,8.0,No,9
5305.0,39.0,Yes,Travel_Frequently,Development,26.0,4,Other,Female,3,Research Scientist,Married,17563.0,2.0,No,6
21525.0,39.0,Yes,Travel_Frequently,HR,25.0,3,Other,Male,1,Research Scientist,Single,4779.0,3.0,Yes,37
734.0,21.0,Yes,Travel_Rarely,Sales,28.0,4,Life Sciences,Male,2,Research Scientist,Single,4802.0,7.0,No,24
10498.0,46.0,Yes,Travel_Rarely,Sales,12.0,3,Marketing,Male,2,Analyst,Divorced,21402.0,6.0,Yes,38
517.0,58.0,No,Non-Travel,HR,13.0,3,Technical,Female,4,Executive,Married,23199.0,2.0,Yes,39
1805.0,48.0,Yes,Non-Travel,Development,13.0,3,Other,Female,1,Analyst,Married,28697.0,1.0,No,1
2533.0,21.0,Yes,Travel_Frequently,Development,25.0,3,Medical,Female,2,Analyst,Married,5052.0,6.0,No,15
6746.0,55.0,No,Non-Travel,Development,8.0,3,Technical,Female,5,Sales Representative,Married,26332.0,0.0,No,27
8030.0,56.0,Yes,Non-Travel,Development,6.0,2,Technical,Female,5,Developer,Single,15830.0,8.0,Yes,32
5861.0,33.0,No,Travel_Frequently,Development,16.0,1,Marketing,Male,4,Developer,Single,11497.0,3.0,No,32
6238.0,33.0,No,Travel_Rarely,HR,10.0,2,Marketing,Male,3,Executive,Single,4844.0,8.0,Yes,31
26604.0,35.0,Yes,Non-Travel,Development,26.0,3,Life Sciences,Female,2,Sales Representative,Single,13007.0,6.0,Yes,10
7723.0,45.0,Yes,Non-Travel,Sales,22.0,4,Life Sciences,Male,5,Research Scientist,Single,19688.0,1.0,No,9
24789.0,39.0,Yes,Travel_Frequently,HR,15.0,3,Life Sciences,Female,3,Manager,Divorced,29997.0,0.0,No,27
4646.0,32.0,Yes,Travel_Frequently,Development,20.0,2,Medical,Female,1,Research Scientist,Married,10298.0,9.0,No,5
23333.0,59.0,No,Travel_Frequently,Sales,27.0,1,Medical,Female,2,Executive,Married,15861.0,8.0,Yes,10
4274.0,24.0,Yes,Travel_Frequently,Development,16.0,2,Other,Male,3,Executive,Married,12781.0,3.0,No,35
21513.0,55.0,Yes,Travel_Frequently,Sales,20.0,4,Medical,Female,2,Executive,Divorced,14341.0,4.0,No,3
2343.0,28.0,Yes,Non-Travel,HR,24.0,2,Medical,Female,4,Sales Representative,Divorced,23486.0,5.0,Yes,32
9734.0,20.0,Yes,Travel_Frequently,HR,19.0,1,Other,Female,5,Developer,Divorced,19479.0,6.0,Yes,38
10388.0,29.0,No,Non-Travel,Development,28.0,4,Life Sciences,Female,5,Manager,Divorced,27144.0,2.0,Yes,3
12171.0,29.0,Yes,Travel_Frequently,HR,6.0,4,Technical,Male,2,Sales Representative,Single,23371.0,9.0,Yes,20
21707.0,32.0,Yes,Non-Travel,Sales,3.0,3,Other,Female,5,Developer,Divorced,6805.0,4.0,No,16
23596.0,49.0,Yes,Travel_Rarely,HR,3.0,2,Life Sciences,Male,3,Sales Representative,Single,26567.0,9.0,Yes,9
25683.0,49.0,Yes,Travel_Frequently,HR,6.0,1,Marketing,Male,2,Research Scientist,Single,5512.0,8.0,Yes,17
12839.0,24.0,Yes,Non-Travel,Development,8.0,1,Medical,Female,4,Developer,Single,18666.0,5.0,No,19
5349.0,31.0,Yes,Travel_Rarely,Development,1.0,2,Other,Male,5,Manager,Single,29673.0,7.0,Yes,3
18665.0,29.0,Yes,Travel_Frequently,Sales,15.0,1,Medical,Male,2,Analyst,Married,2690.0,8.0,Yes,6
10960.0,18.0,No,Travel_Rarely,Sales,18.0,2,Technical,Male,1,Sales Representative,Single,22269.0,2.0,Yes,9
19797.0,20.0,No,Travel_Rarely,HR,3.0,2,Marketing,Male,4,Executive,Single,2119.0,9.0,Yes,22
9071.0,21.0,No,Non-Travel,Sales,16.0,4,Other,Female,2,Sales Representative,Married,9342.0,2.0,Yes,19
14443.0,20.0,Yes,Travel_Rarely,HR,29.0,2,Medical,Female,3,Analyst,Single,26138.0,3.0,No,19
10243.0,48.0,Yes,Travel_Rarely,HR,13.0,1,Other,Male,5,Executive,Married,7673.0,8.0,Yes,13
17562.0,43.0,No,Travel_Rarely,Sales,17.0,2,Medical,Male,2,Executive,Divorced,26517.0,1.0,No,2
11098.0,26.0,No,Travel_Rarely,HR,28.0,3,Technical,Female,4,Sales Representative,Married,25920.0,9.0,No,30
10789.0,46.0,No,Travel_Frequently,HR,29.0,4,Other,Male,5,Sales Representative,Single,4898.0,8.0,Yes,14
24186.0,45.0,No,Travel_Rarely,Sales,20.0,4,Life Sciences,Male,1,Analyst,Single,17134.0,8.0,Yes,20
19683.0,56.0,No,Non-Travel,HR,29.0,1,Medical,Female,4,Executive,Divorced,6828.0,0.0,No,26
7404.0,57.0,No,Travel_Frequently,HR,24.0,3,Other,Male,5,Sales Representative,Single,21464.0,1.0,Yes,6
26651.0,40.0,Yes,Travel_Frequently,Development,16.0,2,Marketing,Female,2,Analyst,Divorced,22208.0,8.0,No,35
21580.0,56.0,No,Non-Travel,HR,11.0,4,Medical,Female,2,Analyst,Married,5824.0,0.0,No,28
25933.0,39.0,Yes,Travel_Rarely,HR,2.0,3,Medical,Female,2,Research Scientist,Divorced,3917.0,6.0,Yes,8
17513.0,51.0,Yes,Travel_Rarely,Sales,2.0,3,Life Sciences,Male,3,Executive,Married,12799.0,2.0,No,0
22027.0,54.0,No,Non-Travel,Sales,1.0,3,Life Sciences,Female,3,Executive,Single,2446.0,3.0,Yes,14
15580.0,40.0,Yes,Non-Travel,Development,23.0,1,Life Sciences,Female,3,Developer,Married,16878.0,1.0,Yes,8
12273.0,29.0,No,Travel_Frequently,HR,22.0,3,Other,Male,4,Developer,Divorced,5316.0,5.0,No,12
18077.0,46.0,No,Travel_Frequently,Development,7.0,1,Technical,Male,1,Analyst,Divorced,29349.0,5.0,No,12
10193.0,30.0,Yes,Travel_Frequently,Development,13.0,2,Life Sciences,Female,1,Manager,Single,11769.0,2.0,No,14
6505.0,26.0,Yes,Non-Travel,HR,7.0,2,Medical,Male,4,Developer,Married,19631.0,6.0,No,16
4868.0,33.0,Yes,Non-Travel,Development,18.0,3,Other,Male,3,Analyst,Married,4940.0,5.0,No,11
28981.0,35.0,Yes,Non-Travel,HR,28.0,4,Life Sciences,Male,1,Sales Representative,Divorced,7828.0,1.0,No,14
2035.0,36.0,No,Travel_Rarely,Sales,11.0,1,Life Sciences,Female,2,Executive,Single,3528.0,1.0,Yes,28
23718.0,50.0,Yes,Travel_Rarely,Sales,16.0,4,Medical,Female,4,Sales Representative,Divorced,26175.0,0.0,No,11
15819.0,39.0,No,Non-Travel,Development,26.0,1,Technical,Female,2,Sales Representative,Married,6613.0,5.0,Yes,10
6626.0,37.0,Yes,Travel_Rarely,HR,28.0,1,Medical,Male,4,Manager,Single,15694.0,6.0,Yes,6
27264.0,22.0,Yes,Non-Travel,HR,3.0,1,Life Sciences,Female,2,Research Scientist,Single,13832.0,3.0,Yes,20
22632.0,24.0,No,Travel_Frequently,Development,26.0,2,Other,Female,1,Sales Representative,Single,6310.0,7.0,No,4
26101.0,36.0,Yes,Non-Travel,Sales,16.0,1,Life Sciences,Male,3,Research Scientist,Single,24090.0,9.0,No,12
1434.0,58.0,No,Travel_Rarely,Sales,14.0,3,Marketing,Male,3,Executive,Divorced,13260.0,8.0,Yes,30
27299.0,54.0,No,Non-Travel,HR,5.0,2,Medical,Male,1,Analyst,Divorced,27257.0,0.0,No,7
1685.0,59.0,No,Non-Travel,HR,13.0,3,Other,Female,3,Executive,Divorced,7204.0,2.0,Yes,33
12625.0,46.0,No,Non-Travel,Development,5.0,3,Other,Female,4,Executive,Single,28802.0,2.0,No,17
3247.0,55.0,Yes,Travel_Frequently,HR,3.0,3,Marketing,Male,2,Sales Representative,Single,23190.0,2.0,Yes,15
2665.0,41.0,No,Travel_Rarely,Development,20.0,4,Technical,Female,5,Research Scientist,Married,25217.0,9.0,No,15
25747.0,30.0,Yes,Non-Travel,HR,20.0,2,Other,Male,3,Developer,Married,19614.0,1.0,Yes,13
28722.0,37.0,Yes,Travel_Rarely,HR,28.0,2,Other,Female,2,Research Scientist,Married,9964.0,7.0,Yes,19
8909.0,48.0,Yes,Non-Travel,Sales,21.0,2,Life Sciences,Female,1,Developer,Single,19489.0,5.0,No,37
5562.0,18.0,Yes,Travel_Rarely,Sales,4.0,4,Medical,Female,2,Analyst,Divorced,5712.0,8.0,No,7
2565.0,45.0,Yes,Non-Travel,Sales,16.0,2,Other,Female,4,Developer,Single,18467.0,4.0,Yes,11
16597.0,27.0,No,Travel_Frequently,HR,28.0,4,Medical,Male,4,Developer,Married,23135.0,1.0,Yes,38
26108.0,51.0,No,Travel_Frequently,Development,23.0,1,Life Sciences,Female,1,Research Scientist,Divorced,25508.0,5.0,Yes,17
251.0,36.0,Yes,Travel_Frequently,Development,28.0,2,Other,Female,5,Manager,Divorced,12040.0,6.0,No,20
